GENUS,SPECIES,MORPHOLOGY,MORPHOLOGY_CODE,METHOD,EXTENSION_CM_YR_RANGE,EXTENSION_CM_YR_MEAN,EXTENSION_CM_YR_SE,EXTENSION_STUDY_N,DENSITY_G_CM3_RANGE,DENSITY_G_CM3_MEDIAN/MEAN,DENSITY_G_CM3_SE,DENSITY_STUDY_N,REEF_ZONE,DEPTH_M,STUDY_REGION,STUDY_SITE,REGION_OCEAN,YEAR,REFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,grandis,branching,BR,external growth bands; expansion,,5.000,,1,,,,,fringing reef,5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,grandis,branching,BR,X-radiography,2.9-6.8,5.040,1.34,16,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,grandis,branching,BR,X-radiography,2.8-4.2,3.350,0.43,25,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,meandrina,branching,BR,,,0.808,,,,,,,,,Hawaii,"Sunset Beach, Oahu",Central Pacific,1998,"Grigg, R.W. (1998). Holocene coral reef accretion in Hawaii: a function of wave exposure and sea level history. Coral Reefs 17, 263–272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,meandrina,branching,BR,X-radiography,1.7-3.1,2.300,0.47,25,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,meandrina,branching,BR,linear extension,0.5-3.6,1.480,,107,,,,,lagoon,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,meandrina,branching,BR,X-radiography,1.0-2.9,1.910,0.43,54,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,verrucosa,branching,BR,diameter,,1.860,1.2,33,,,,,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,ligulata,branching,BR,linear extension,0.47-2.16,1.447,0.279,18,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,ligulata,branching,BR,X-radiography,,1.530,,,,,,,,,Pacific Remote Islands,Kure Atoll,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,spp,branching,BR,vertical increase,,2.300,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,spp,branching,BR,diameter,,3.600,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,0.4-1.2,0.710,0.2,78,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,external growth bands; expansion,0.3-1.8,0.793,0.289,33,,,,,lagoon,,USA,Hawaii,Central Pacific,1958,"Ma TYH (1958) The relation of growth rate of reef corals to surface temperature of sea water as a basis for study of causes of disastrophisms instigating evolution of life. World Book Co, LTD, Taipei, Taiwan. IN Jokiel and Tyler (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,Alizarin Red stain,,0.825,0.077,14,,,,,,1.7-8,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.870,0.131,4,,,,,fringing reef,7-18,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.766,,10,,,,,,2-5,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1998,"Grigg, R.W. (1998). Holocene coral reef accretion in Hawaii: a function of wave exposure and sea level history. Coral Reefs 17, 263–272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.813,,10,,,,,,12,Hawaii,"Hanauma Bay, Oahu",Central Pacific,1998,"Grigg, R.W. (1998). Holocene coral reef accretion in Hawaii: a function of wave exposure and sea level history. Coral Reefs 17, 263–272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,1.010,,10,,,,,,12,Hawaii,"Mamala Bay, Oahu",Central Pacific,1998,"Grigg, R.W. (1998). Holocene coral reef accretion in Hawaii: a function of wave exposure and sea level history. Coral Reefs 17, 263–272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.808,,10,,,,,,12,Hawaii,"Sunset Beach, Oahu",Central Pacific,1998,"Grigg, R.W. (1998). Holocene coral reef accretion in Hawaii: a function of wave exposure and sea level history. Coral Reefs 17, 263–272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,1.187,0.114,21,,,,,,3-12,Hawaii,"Lahaina, Maui",Central Pacific,2006,"Grigg, R.W. (2006). Depth limit for reef building corals in the Au’au Channel, SE Hawaii. Coral Reefs 25, 77–84.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,1.300,,10,1.18-1.68,1.380,,,,10,USA,Southern Islands of Hawaii chain,Central Pacific,1982,"Grigg, R.W. (1982). Darwin Point: a threshold for atoll formation. Coral Reefs 1, 29–34.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,0.76-1.88,1.178,0.389,6,,,,,backreef,3,Australia,Rib Reef,Great Barrier Reef,1989,"Barnes, D. J., & Lough, J. M. (1989). The nature of skeletal density banding in scleractinian corals: Fine banding and seasonal patterns. Journal of Experimental Marine Biology and Ecology, 126(2), 119–134. https://doi.org/10.1016/0022-0981(89)90084-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,0.8-0.9,0.850,0.05,2,,,,,,3-7,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,1997,"Alibert, C., & McCulloch, M. T. (1997). Strontium/calcium ratios in modern porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO. Paleoceanography, 12(3), 345–363. https://doi.org/10.1029/97PA00318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,Alizarin Red stain, ,0.160,,,,1.527,0.032,,forereef,1-2,American Samoa,Ofu/Olsega,South Pacific,2007,"Smith, L., Barshins, D., & Birkeland, C. (2007). Phenotypic plasticity for skeletal growth, density and calcification of Porites lobata in response to habitat type. Coral Reefs, 26(3), 559–567. https://doi.org/10.1007/s00338-007-0216-z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,Alizarin Red stain, ,0.830,,,,1.405,0.018,,backreef,1-2,American Samoa,Ofu/Olsega,South Pacific,2007,"Smith, L., Barshins, D., & Birkeland, C. (2007). Phenotypic plasticity for skeletal growth, density and calcification of Porites lobata in response to habitat type. Coral Reefs, 26(3), 559–567. https://doi.org/10.1007/s00338-007-0216-z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,1.300,0.3,1,,,,,,2,Philippines,"Hilutangan Channel, Mactan Island",Southeast Asia,1984,"Pätzold, J. (1984). Growth rhythms recorded in stable isotopes and density bands in the reef coral Porites lobata (Cebu, Philippines). Coral Reefs 3, 87–90.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobota,mounding,MD,linear extension,0.52-1.00,0.728,0.082,12,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.560,,,,,,,,,Papua New Guinea,Papua New Guinea,Western Pacific,2000,"Pichler, T., Heikoop, J. M., Risk, M. J., Veizer, J., & Campbell, I. L. (2000). Hydrothermal Effects on Isotope and Trace Element Records in Modern Reef Corals: A Study of Porites lobata from Tutum Bay, Ambitle Island, Papua New Guinea. PALAIOS, 15(3), 225–234. https://doi.org/10.2307/3515644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,1.300,0.3,,,,,1,,2,Phillipines,"Hilutangan Channel, Mactan Island",Southeast Asia,1984,"Pätzold, J. (1984). Growth rhythms recorded in stable isotopes and density bands in the reef coral Porites lobata (Cebu, Philippines). Coral Reefs 3, 87–90.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lobata,mounding,MD,X-radiography,,0.530,0.12,,,,,1,rocky reef,2,Japan,"Shirigai Bay, Shikoku Island",Southeast Asia,1999,"Fallon, S. J., McCulloch, M. T., van Woesik, R., & Sinclair, D. J. (1999). Corals at their latitudinal limits: Laser ablation trace element systematics in Porites from Shirigai Bay, Japan. Earth and Planetary Science Letters, 172(3), 221–238. https://doi.org/10.1016/S0012-821X(99)00200-9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,1.100,,,,,,,,,USA,Necker semi prot shelf,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,linear extension,,1.160,,,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.580,,,,,,,backreef,,Pacific Remote Islands,Kure Atoll,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.510,,,,,,,,,Northwestern Hawaiian Islands,Lisianski Island,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.550,,,,,,,,,USA,Necker Island,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.870,,,,,,,,,USA,"Maro Reef, patch reef",Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.35-1.18,0.760,,30,1.26-1.50,1.410,,30,,0-30,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1979,Highsmith R (1979) Coral growth rates and environmental control of density banding. J Exp Mar Bio Ecol 37: 105–125. Available: http://www.sciencedirect.com/science/article/pii/0022098179900893. Accessed 9 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.5-1.0,0.780,0.13,31,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.904,0.353,7,,,,,fringing reef,30-Mar,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,1.350,0.05,,,,,,reef flat,2-5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,2.000,,1,,,,,reef flat,10,Polynesia,Palmyra Island,Central Pacific,2001,"Cobb, K.M., Charles, C.D. & Hunter, D.E. 2001. A central tropical Pacific coral demonstrates Pacific, Indian, and Atlantic decadal climate connections. Geophysical Research Letters 28, 2209–2212.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.9-1.2,1.050,,4,,,,,lagoon rim,4-6,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Hudson, J.H. (1985). Long-term growth rates of Porites lutea before and after nuclear testing: Enewetak Atoll, Marshall Islands. Proceedings of the Fifth International Coral Reef Symposium 6, 179–185.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,1.2-1.5,1.330,,3,,,,,,2.4-7,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,1997,"Alibert, C., & McCulloch, M. T. (1997). Strontium/calcium ratios in modern porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO. Paleoceanography, 12(3), 345–363. https://doi.org/10.1029/97PA00318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.7676-1.6887,1.145,0.21,45,0.976-1.329,1.156,0.077,45,backreef,5,French Polynesia,"Atiha Bay, Moorea",South Pacific,2001,"Bessat, F., & Buigues, D. (2001). Two centuries of variation in coral growth in a massive Porites colony from Moorea (French Polynesia): A response of ocean-atmosphere variability from south central Pacific. Palaeogeography, Palaeoclimatology, Palaeoecology, 175(1), 381–392. https://doi.org/10.1016/S0031-0182(01)00381-9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,1.36-2.05,1.773,0.146,4,,,,,fringing reef,,Palau,"Ulong Channel, Ngaragabel, Ngeralang, Rock Islands",Western Pacific,2013,"Osborne, M.C., Dunbar, R.B., Mucciarone, D.A., Sanchez-Cabeza, J.-A. & Druffel, E. (2013). Regional calibration of coral-based climate reconstructions from Palau, West Pacific Warm Pool (WPWP). Palaeogeography, Palaeoclimatology, Palaeoecology 386, 308–320.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.6-2.1,1.347,0.247,,,,,,,18,Cook Islands,Rarotonga,South Pacific,2019,"Linsley, Braddock K., Robert B. Dunbar, Emilie P. Dassié, Neil Tangri, Henry C. Wu, Logan D. Brenner, and Gerard M. Wellington. (2019). Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications. Nature communications 10, no. 1: 1-9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.6-2.0,1.099,0.229,1,,,,,,10,Fiji,Savusavu Bay,South Pacific,2019,"Linsley, Braddock K., Robert B. Dunbar, Emilie P. Dassié, Neil Tangri, Henry C. Wu, Logan D. Brenner, and Gerard M. Wellington. (2019). Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications. Nature communications 10, no. 1: 1-9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.4-2.0,0.949,0.247,1,,,,,,8,Fiji,Savusavu Bay,South Pacific,2019,"Linsley, Braddock K., Robert B. Dunbar, Emilie P. Dassié, Neil Tangri, Henry C. Wu, Logan D. Brenner, and Gerard M. Wellington. (2019). Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications. Nature communications 10, no. 1: 1-9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.6-1.9,1.096,0.219,1,,,,,,3.5,Tonga,Nomuka Iki,South Pacific,2019,"Linsley, Braddock K., Robert B. Dunbar, Emilie P. Dassié, Neil Tangri, Henry C. Wu, Logan D. Brenner, and Gerard M. Wellington. (2019). Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications. Nature communications 10, no. 1: 1-9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.5-2.1,1.169,0.254,,,,,,,7.5,Samoa,Ta'u,South Pacific,2019,"Linsley, Braddock K., Robert B. Dunbar, Emilie P. Dassié, Neil Tangri, Henry C. Wu, Logan D. Brenner, and Gerard M. Wellington. (2019). Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications. Nature communications 10, no. 1: 1-9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,,0.700,,,,,,,,,Japan,Ishigaki,Southeast Asia,2010,Suzuki et al. (2010). Geochemical Journal 34:321-329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,lutea,mounding,MD,X-radiography,0.149-0.468,0.341,0.037,,1.45-1.7,1.580,0.03,7,Fringing reef,3-5,Japan,Shiraho,Southeast Asia,2013,"Sowa, K., & Watanabe, T. (2013). Estimation of uncertainty for massive Porites coral skeletal density. JAMSTEC Report of …, 16; 31–39. Retrieved from http://www.godac.jamstec.go.jp/catalog/data/doc_catalog/media/JAM_RandD16_04.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,australiensis,mounding,MD,X-radiography,0.7-1.2,0.950,0.25,,1.1-1.6,1.350,0.238,1,,1.5,Japan,"Fukai, Ishigaki Island",Southeast Asia,2003,"Mitsuguchi, T., Matsumoto, E. & Uchida, T. (2003). Mg/Ca and Sr/Ca ratios of Porites coral skeleton: evaluation of the effect of skeletal growth rate. Coral Reefs 22, 381–388.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,mayeri,mounding,MD,X-radiography,,1.300,0.3,1,,,,,,3.6,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,1997,"Alibert, C., & McCulloch, M. T. (1997). Strontium/calcium ratios in modern porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO. Paleoceanography, 12(3), 345–363. https://doi.org/10.1029/97PA00318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,evermanni,mounding,MD,linear extension,0.5-2.5,1.160,0.265,9,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.462,,,,1.090,,25,leeward lagoon,4-7,Australia,Nelly Bay,Great Barrier Reef,2014,"Cantin, N. E., & Lough, J. M. (2014). Surviving coral bleaching events: Porites growth anomalies on the Great Barrier Reef. PloS One, 9(2), e88720. https://doi.org/10.1371/journal.pone.0088720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.414,,,,1.190,,39,leeward lagoon,4-7,Australia,Pandora Reef,Great Barrier Reef,2014,"Cantin, N. E., & Lough, J. M. (2014). Surviving coral bleaching events: Porites growth anomalies on the Great Barrier Reef. PloS One, 9(2), e88720. https://doi.org/10.1371/journal.pone.0088720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.524,,,,1.260,,42,leeward lagoon,4-7,Australia,Rib Reef,Great Barrier Reef,2014,"Cantin, N. E., & Lough, J. M. (2014). Surviving coral bleaching events: Porites growth anomalies on the Great Barrier Reef. PloS One, 9(2), e88720. https://doi.org/10.1371/journal.pone.0088720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.300,,,,1.360,,38,leeward lagoon,4-7,Australia,Myrmidon Reef,Great Barrier Reef,2014,"Cantin, N. E., & Lough, J. M. (2014). Surviving coral bleaching events: Porites growth anomalies on the Great Barrier Reef. PloS One, 9(2), e88720. https://doi.org/10.1371/journal.pone.0088720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.280,0.026,38,,1.250,0.013,38,Fringing reef,1-3,Australia,Hay and Hannah islands,Great Barrier Reef,2008,"Cooper, T. F., De’Ath, G., Fabricius, K. E., & Lough, J. M. (2008). Declining coral calcification in massive Porites in two nearshore regions of the northern Great Barrier Reef. Global Change Biology, 14(3), 529–538. doi:10.1111/j.1365-2486.2007.01520.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.240,,328,1.24-1.22,1.230,,328,,,Australia,Northern GBR,Great Barrier Reef,2009,"De’ath, G., Lough, J., & Fabricius, K. (2009). Declining coral calcification on the Great Barrier Reef. Science, (November), 116–120. Retrieved from http://www.sciencemag.org/content/323/5910/116.short",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.356,0.35,7,,1.330,0.21,7,reef flat,3-5,Australia,Pandora Reef,Great Barrier Reef,1992,"Lough, J., & Barnes, D. . (1992). Comparisons of skeletal density variations in Porites from the central Great Barrier Reef. Journal of Experimental Marine Biology and Ecology, 155(1), 1–25. doi:10.1016/0022-0981(92)90024-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.229,0.237,9,,1.400,0.13,9,reef flat,3-5,Australia,Rib Reef,Great Barrier Reef,1992,"Lough, J., & Barnes, D. . (1992). Comparisons of skeletal density variations in Porites from the central Great Barrier Reef. Journal of Experimental Marine Biology and Ecology, 155(1), 1–25. doi:10.1016/0022-0981(92)90024-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,0.822,0.102,9,,1.560,0.16,9,reef flat,3-5,Australia,Myrmidon Reef,Great Barrier Reef,1992,"Lough, J., & Barnes, D. . (1992). Comparisons of skeletal density variations in Porites from the central Great Barrier Reef. Journal of Experimental Marine Biology and Ecology, 155(1), 1–25. doi:10.1016/0022-0981(92)90024-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,1.3-1.66,1.513,0.109,22,0.99-1.23,1.133,0.073,22,,3-11,Australia,"Magnetic Island, Havannah Island, Pandora Reef",Great Barrier Reef,2013,"D’Olivo, J.P., McCulloch, M.T. & Judd, K. (2013). Long-term records of coral calcification across the central Great Barrier Reef: assessing the impacts of river runoff and climate change. Coral Reefs 32, 999–1012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
